"","DV","Variable","# datapoints","R2","adjR2","AIC","BIC","F","RMSE","Coef","p-value","Robst p","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","RMSE_OS","ADF pvalue","PP pvalue","KPSS pvalue","Criteria1","Criteria2","Criteria3"
"1","FI_IG_long","USGG30YR_IndexMoMPercentChangeL0","70","0.593045402538924","0.587147509822097","69.7578710332839","74.2548615173827","4.21884749357559e-15","0.387035269519561","-7.83424915066632","4.16514541273821e-15","7.54343346013585e-21","0.731726156692132","0.385886276376013","0.614113723623987",NA,"0.38557525205435","0.152673825808573","0.01","0.1","","",""
"2","FI_IG_long","USGG30YR_IndexMoMDifferenceL0","70","0.590137888704848","0.584197858106367","70.2562125236164","74.7532030077151","5.32907051820075e-15","0.388415408228108","-2.76596369493976","5.33723575357207e-15","1.18137173921553e-18","0.717780101245532","0.373560830395658","0.626439169604342",NA,"0.38577883841427","0.191143104112788","0.01","0.1","","",""
"3","FI_IG_long","USGG10YR_IndexMoMPercentChangeL0","70","0.485639414745535","0.478184913509963","86.1534755846067","90.6504660687054","1.47999390520681e-11","0.435122362948553","-5.01444192475707","1.47999557535362e-11","5.03037202762144e-15","0.287164081066894","0.172376168465354","0.827623831534646",NA,"0.422358145817055","0.141359083758711","0.01","0.1","","",""
"4","FI_IG_long","USGG10YR_IndexMoMDifferenceL0","70","0.48010417754082","0.472569455476194","86.9027487839502","91.3997392680489","2.15274464920867e-11","0.437457359519095","-2.28906502590888","2.1527436395325e-11","1.83877621582487e-12","0.356261726788843","0.209115565109943","0.790884434890057",NA,"0.420766531866771","0.116201086768903","0.01","0.1","","",""
"5","FI_IG_long","USGG2YR_IndexMoMDifferenceL0","70","0.235996203640324","0.224923684852502","113.848850353158","118.345840837257","1.75107703450639e-05","0.530304511288757","-2.42996106090078","1.75107703450032e-05","3.17248215434724e-05","0.166387614890071","0.106784386294971","0.893215613705029",NA,"0.490630019996472","0.0191193071246414","0.01","0.1","","",""
"6","FI_IG_long","USGG2YR_IndexMoMPercentChangeL0","70","0.192197365671985","0.180490081116506","117.751000775035","122.247991259134","0.000131319235433192","0.545293343148318","-1.73746247289897","0.000131319235433201","0.000136387896727305","0.108070432309714","0.0699807921108723","0.930019207889128",NA,"0.484906120353813","0.0256914030868647","0.01","0.1","","",""
"7","FI_IG_long","UNRATEMoMPercentChangeL0","70","0.123110242596049","0.110401695387296","123.495446896307","127.992437380406","0.00269968158052802","0.568133060187397","7.95826699083861","0.00269968158052802","0.00615506906813631","0.311960632737223","0.185793961281033","0.814206038718967",NA,"0.5552449694847","0.01","0.01","0.1","","",""
"8","FI_IG_long","UNRATEMoMDifferenceL0","70","0.113881871095315","0.101039579372059","124.22827618204","128.725266666139","0.00400218670822294","0.57111474679589","1.46887360294118","0.00400218670822298","0.0124424154306534","0.218761106924241","0.128877147374119","0.871122852625881",NA,"0.52071205598353","0.01","0.01","0.1","","",""
"9","FI_IG_long","IPMANSICSMoMPercentChangeL0","70","0.0143755416785129","9.11292390710639e-05","131.678035848056","136.175026332154","0.31927690211557","0.602328342538429","-5.31218695856347","0.319276902115571","0.190185087623599","0.764768218471147","0.445163718501663","0.554836281498337",NA,"0.506021195578374","0.0109560858421808","0.01","0.1","","",""
"10","FI_IG_long","UEMP27OVMoMPercentChangeL0","70","0.0143125632729916","2.72381030349544e-05","131.682508492287","136.179498976386","0.320346982725144","0.602347585705718","1.37339710255383","0.320346982725144","0.337439972487158","0.688292085649585","0.394885826435018","0.605114173564982",NA,"0.570593366236159","0.0191841335758272","0.01","0.1","","",""
